id,name,organization,unique_id,award_method,deadline,publish_date,details_link
1444,„Доставка нa 2 /два/ броя автомобили за нуждите на Община Ловеч“   по обособени позиции,ОБЩИНА ЛОВЕЧ,00169-2024-0037,Открита процедура,2024-12-17,2024-12-11,https://app.eop.bg/today/442836
1445,„Извършване на строително-монтажни работи (СМР) с цел текущи и аварийни ремонти на учебните корпуси на ТУ – София ”,ТЕХНИЧЕСКИ УНИВЕРСИТЕТ,00193-2024-0116,Открита процедура,2024-12-19,2024-12-11,https://app.eop.bg/today/442648
1446,„Осигуряване на лицензи за право на ползване на продукти Microsoft“ по две обособени позиции,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,05948-2024-0127,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441818
1447,”Доставка на лекарствени продукти за нуждите на МБАЛ Христо Ботев АД гр. Враца”,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ - ХРИСТО БОТЕВ АД,00399-2024-0016,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441698
1448,Доставка на консумативи за автоматичен инжектор и диспенсър към  PET/CT в УМБАЛ „Александровска” ЕАД,"УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ ""АЛЕКСАНДРОВСКА"" ЕАД",00360-2024-0031,Открита процедура,2024-12-17,2024-12-11,https://app.eop.bg/today/441691
1449,„Консултантска услуга за упражняване на строителен надзор и оценка на съответствието на инвестиционен проект за изграждане на довеждаща техническа инфраструктура на „Индустриален парк Сливен“,ОБЩИНА СЛИВЕН,00118-2024-0049,Открита процедура,2024-12-13,2024-12-11,https://app.eop.bg/today/441510
1450,„Сметосъбиране и сметоизвозване на твърди битови отпадъци от територията на община Руен и почистване на местата за обществено ползване“,ОБЩИНА РУЕН,00274-2024-0025,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441125
1451,Избор на изпълнител за упражняване на строителен надзор при изпълнение на СМР на обекти на територията на община Мъглиж по шест обособени позиции,ОБЩИНА МЪГЛИЖ,01073-2024-0022,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/441066
1452,"""Доставка на два броя нови багери - товарачи""",ВОДОСНАБДЯВАНЕ И КАНАЛИЗАЦИЯ ЕООД,00004-2024-0038,Открита процедура,2024-12-17,2024-12-11,https://app.eop.bg/today/439656
1553,„Избор на изпълнител на строително – ремонтни дейности свързани с основния ремонт на сградата на Почивна база на БНБ в гр. Приморско“.,БЪЛГАРСКА НАРОДНА БАНКА,01224-2024-0041,Открита процедура,2024-12-12,2024-12-11,https://app.eop.bg/today/437673
1453,Организация и управление на процедура за независима проверка и верификация на кандидатурите на общини за присъждане на Европейски етикет за иновации и добро управление на местно ниво,МИНИСТЕРСТВО НА РЕГИОНАЛНОТО РАЗВИТИЕ И БЛАГОУСТРОЙСТВОТО,00028-2024-0021,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/438947
1454,"„Доставка на китове, реактиви и консумативи за 2024-2025 г. за дейности по Наредба № 26/2007 г., за предоставяне на акушерска помощ на здравно неосигурени жени и за извършване на изследвания извън обхвата на задължителното здравно осигуряване на деца и бременни жени“ – Част II",МИНИСТЕРСТВО НА ЗДРАВЕОПАЗВАНЕТО,00080-2024-0033,Открита процедура,2025-01-08,2024-12-11,https://app.eop.bg/today/438844
1455,"""Технологично обновление и модернизиране на системата за външно изкуствено улично и парково осветление в с. Брадвари, с. Професор Иширково, с. Смилец, с. Йорданово и с. Полковник Ламбриново “ по обособени позиции",ОБЩИНА СИЛИСТРА,00030-2024-0122,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/437927
1456,Развитие на Информационна система „Външна търговия“ чрез добавяне на модул „Макроданни“ с цел формиране на различни статистически изходи  и осигуряване на извънгаранционна поддръжка за срок от 12 месеца.,НАЦИОНАЛЕН СТАТИСТИЧЕСКИ ИНСТИТУТ,00403-2024-0028,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/437512
1457,"„Доставка, чрез закупуване по заявка на прогнозни количества материали за маркиране на стояща и лежаща дървесина (специализиран и универсален спрей, боя, разредители, четки, горска креда, лента за маркиране) и други технически средства за маркиране (клупи, висотомери, пластини за измерване на пълнотата) и др., необходими за дейността на ТП на ЮИДП ДП за срок от 24 месеца”",ЮГОИЗТОЧНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП,02716-2024-0158,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/437446
1458,"Подмяна на средства за търговско измерване на електрическа енергия на територията на „Електроразпределителни мрежи Запад“ ЕАД, реф. № РРS 24-175",Електроразпределителни мрежи Запад ЕАД,01467-2024-0084,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/437126
1459,"""Доставка на 1 (един) брой нов специализиран товарен микробус за транспорт на умрели животни и СЖП (дооборудване със санитарна облицовка, товарна рампа и лебедка) за нуждите на ОП ""Екоравновесие""",СТОЛИЧНА ОБЩИНА,00087-2024-0125,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/436573
1460,Доставка на измервателни инструменти,АЕЦ КОЗЛОДУЙ ЕАД,00353-2024-0287,Открита процедура,2025-01-07,2024-12-11,https://app.eop.bg/today/436345
1461,„Абонаментна поддръжка на счетоводна система на ДФ „Земеделие“,"ДЪРЖАВЕН ФОНД ""ЗЕМЕДЕЛИЕ""",00737-2024-0025,Открита процедура,2024-12-16,2024-12-11,https://app.eop.bg/today/432139
1462,"Осигуряване на извънгаранционно пълно сервизно обслужване и ремонт на служебните автомобили, предоставени за ползване на РДСП - Варна и на ДСП на територията на област Варна",РЕГИОНАЛНА ДИРЕКЦИЯ ЗА СОЦИАЛНО ПОДПОМАГАНЕ - ВАРНА,00496-2024-0047,Открита процедура,2024-12-17,2024-12-11,https://app.eop.bg/today/431453
